land_cover,model,n,first_source_excel_row,last_source_excel_row,pearson_r,pearson_p,pearson_ci95_low,pearson_ci95_high,spearman_rho,spearman_p,ols_slope,ols_intercept,ols_r_squared,mean_bias_y_minus_x,mae,rmse,x_min,x_max,y_min,y_max
cropland,DNN,3499,2,3500,0.941773435003046,0,0.937906276157273,0.945406534491531,0.949079963246017,0,0.817170319355069,3.62749062903056,0.886937202877437,0.880953036046907,3.59571648912334,4.87641111231531,-3.61109795918367,76.3342857142857,1.33730006217956,56.2206802368164
cropland,GBRT,3499,2,3500,0.933957814915592,0,0.929590398167017,0.938063022093013,0.943222535570904,0,0.864508162878864,1.95806086251523,0.872277200041907,-0.0773494870676086,3.35668584971472,4.98020598488539,-3.61109795918367,76.3342857142857,-1.37321880364942,58.5435018898661
cropland,LR,3499,2,3500,0.829951639220133,0,0.819348695276503,0.839986999169389,0.8518681272054,0,0.855509220463552,2.34428655419603,0.688819723444186,0.173690639810127,5.77888712276395,8.26062432727388,-3.61109795918367,76.3342857142857,-4.95986404481662,68.0118637229778
cropland,SVR,3499,2,3500,0.926816128056354,0,0.921995475670607,0.931349506823772,0.939827966084542,0,0.867989346522714,1.3672107003339,0.858988135225372,-0.615903973228575,3.33296768144844,5.26870590155656,-3.61109795918367,76.3342857142857,-10.5221976962316,54.8362970281538
forest,DNN,3965,2,3966,0.949412891446475,0,0.946249721544579,0.952394464067682,0.954741674431366,0,0.846525569626492,3.2055199866202,0.901384838444755,0.482523967700555,3.37964377060545,4.61015792845131,-2.27289795918367,69.1742857142857,0.760594010353088,62.7891654968262
forest,GBRT,3965,2,3966,0.940029862668528,0,0.936299151752212,0.943548450385901,0.944289379912138,0,0.88540255976179,2.2263485429202,0.883656142708612,0.193121426275428,3.48814467765078,4.9015940456332,-2.27289795918367,69.1742857142857,-1.907379078387,73.0945260488609
forest,LR,3965,2,3966,0.845102477603523,0,0.835965698326419,0.853770868586664,0.881235582491673,0,0.774386489396173,4.22055477054865,0.714198197651613,0.2176424307303,5.82429430888746,7.74721833391466,-2.27289795918367,69.1742857142857,-13.6708428306257,53.8030543625309
forest,SVR,3965,2,3966,0.939913695559615,0,0.936175995695313,0.943438900359145,0.945589149620538,0,0.9003260709008,1.38219292737348,0.883437755100532,-0.386256132620885,3.20646703899106,4.9242665924248,-2.27289795918367,69.1742857142857,-0.490964367569312,68.1771423921556
grassland,DNN,4221,2,4222,0.962779174411293,0,0.960509195211175,0.964921007135478,0.95283162202784,0,0.87401666846038,2.69200185079566,0.926943738680091,0.904695920213793,3.01959547342421,4.17406549481973,-4.5970612244898,83.7857142857143,1.19309401512146,72.8840713500977
grassland,GBRT,4221,2,4222,0.911476670733209,0,0.906227394374498,0.916444979133328,0.817776084517483,0,0.849649111592033,3.68395274246747,0.830789721290896,1.55094807243855,4.46172681764013,6.27929852704057,-4.5970612244898,83.7857142857143,-3.16054582086919,81.3115688338316
grassland,LR,4221,2,4222,0.822544175557741,0,0.812538544122173,0.832065243097479,0.804745337957775,0,0.662071004053758,5.25349770534807,0.676578920743965,0.459351597373868,6.20697746164454,8.41823248445458,-4.5970612244898,83.7857142857143,-6.76669806744841,57.0738855889074
grassland,SVR,4221,2,4222,0.954628814574974,0,0.951873958664673,0.957229431089184,0.953938965038609,0,0.900157776000166,1.12440795293255,0.91131617361682,-0.292038150663831,2.70871810659786,4.41255577393793,-4.5970612244898,83.7857142857143,-1.01563173161734,83.7848029917465
savanna,DNN,4305,2,4306,0.949802987965818,0,0.946793774342818,0.952646147643193,0.902434059276216,0,0.879351405761348,2.63559880940324,0.902125715948796,1.05486375085673,2.86457782410793,3.88904249542249,-3.17312653061225,82.7563265306122,2.78597593307495,75.3447952270508
savanna,GBRT,4305,2,4306,0.829239228298314,0,0.81967089792538,0.838344962179137,0.765742999598775,0,0.858368949136045,5.44724839908342,0.687637697748783,3.59160168482013,5.63929532767839,7.96179793833257,-3.17312653061225,82.7563265306122,-1.89473942177155,79.3623932942546
savanna,LR,4305,2,4306,0.789241381528664,0,0.777704191567751,0.800247071938494,0.753663518926525,0,0.559675013989225,6.45951963138635,0.622901958317275,0.690391968245703,5.64441403572814,7.42031190849336,-3.17312653061225,82.7563265306122,-2.64614640687332,58.7733246704034
savanna,SVR,4305,2,4306,0.934252039078168,0,0.930343880518339,0.93794797333721,0.896092824939136,0,0.885702845557181,1.54853701024198,0.872826872521716,0.0510183672772411,2.81703638108232,4.25790066125442,-3.17312653061225,82.7563265306122,-0.220538059713558,79.9450139659499
